key,subject,task,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time,tr,n_volumes,n_anchors,n_peaks,dvars_pct,tsnr
ds002336/sub-xp101/func/sub-xp101_task-fmriNF_bold.nii.gz,sub-xp101,fmriNF,19,32,4.4375,1.1341473989656923,1.15625,0.447889315243931,4.28125,1.3255400603576277,0.125,0.28125,0.4444444444444444,1.4444444444444444,2.6451612903225805,3.036290322580645,0.03125,1.5625,384.3892417330637,995.5108737530627,-2.1016901332818456,-0.28558017589766016,-1.4625255090358722,-0.16668165583057037,1.2242960736293265,1.4961389232267996,1.6347301259765237,2.0,210,20,39,6.166921111584652,29.33046324843218
ds002336/sub-xp102/func/sub-xp102_task-fmriNF_bold.nii.gz,sub-xp102,fmriNF,19,33,4.636363636363637,1.342064217404057,1.1818181818181819,0.3916747259003201,4.454545454545454,1.5018927452324344,0.18181818181818182,0.30303030303030304,0.6,2.0,2.4193548387096775,2.8306451612903225,0.06060606060606061,1.4848484848484849,458.1036980087171,998.4490582460782,-0.7819333551950354,-0.38112576618412985,-0.39187956373803806,0.3532890070502296,1.740465617873216,0.8237637209666901,1.1969709283024683,2.0,210,20,40,5.899416415934252,17.09500124402313
ds002336/sub-xp103/func/sub-xp103_task-fmriNF_bold.nii.gz,sub-xp103,fmriNF,19,38,4.894736842105263,1.3713176477528488,1.2105263157894737,0.8748094691970764,4.684210526315789,1.5440428358064164,0.07894736842105263,0.2631578947368421,0.3,1.6,2.72972972972973,2.864864864864865,0.02631578947368421,1.8157894736842106,414.3875436320827,974.3989573764225,0.7630500715788301,-0.019114527531398945,0.6287251398227897,-1.637667139984496,1.545534238814553,1.1715451146821836,2.2566449466490854,2.0,210,20,48,5.546474602565608,26.421731509906234
ds002336/sub-xp104/func/sub-xp104_task-fmriNF_bold.nii.gz,sub-xp104,fmriNF,19,42,4.785714285714286,1.1798245898089132,1.2142857142857142,0.5646373446828088,4.571428571428571,1.3993527622833724,0.14285714285714285,0.2857142857142857,0.3333333333333333,1.6666666666666667,2.7,2.359375,0.047619047619047616,1.6904761904761905,446.7063211053448,979.9548963575821,-0.2671531992723441,0.04331760927543984,-0.20040749341810066,-0.053535034923340434,1.3509593892797185,1.3101049867742751,0.628841603495319,2.0,210,20,49,5.247821828831697,32.61713366293585
ds002336/sub-xp105/func/sub-xp105_task-fmriNF_bold.nii.gz,sub-xp105,fmriNF,19,46,4.956521739130435,1.3817303441559619,1.173913043478261,0.43738352486814935,4.782608695652174,1.4744195615489712,0.15217391304347827,0.21739130434782608,0.5,1.9,2.022727272727273,1.6306818181818181,0.043478260869565216,1.7608695652173914,451.95121075400516,982.5502110434736,0.6199434801928323,-0.6965829914048358,0.8014532996792877,-0.23058375997325337,0.7052138361970258,-0.9029452001255777,-1.1389303412281515,2.0,210,20,51,5.83334038157109,28.049258307144456
ds002336/sub-xp106/func/sub-xp106_task-fmriNF_bold.nii.gz,sub-xp106,fmriNF,19,42,4.761904761904762,1.3216679006047496,1.2619047619047619,0.5436786985838643,4.5,1.6116950628483528,0.21428571428571427,0.16666666666666666,0.7142857142857143,2.0,3.024390243902439,2.7896341463414633,0.023809523809523808,1.5476190476190477,366.5928012512594,916.1089709158365,-0.2981914171596855,0.7135247717842429,-0.5739846751247537,1.234470850493288,-1.545836277408049,1.9348107926288995,1.7637179946017292,2.0,210,20,48,5.605772042336041,32.46687341138933
ds002336/sub-xp107/func/sub-xp107_task-fmriNF_bold.nii.gz,sub-xp107,fmriNF,19,42,4.9523809523809526,1.3960288792942148,1.1428571428571428,0.47222506888076426,4.809523809523809,1.4855087859308729,0.09523809523809523,0.23809523809523808,0.4,1.8,2.292682926829268,2.0701219512195124,0.023809523809523808,1.7857142857142858,431.76696424510106,999.8140925244459,0.8513282355923657,-0.7743594035223883,0.996288460890965,-0.9237010343627855,0.5036721609594741,-0.13597262450630643,-0.40652288604710846,2.0,210,20,47,6.93449205835843,29.379665070644364
ds002336/sub-xp108/func/sub-xp108_task-fmriNF_bold.nii.gz,sub-xp108,fmriNF,19,43,4.883720930232558,1.2948488112808014,1.1162790697674418,0.32435300622428814,4.767441860465116,1.4448135371921176,0.11627906976744186,0.16279069767441862,0.7142857142857143,2.142857142857143,2.3658536585365852,2.091463414634146,0.046511627906976744,1.7906976744186047,414.7805520494983,973.8423260421025,0.3397700082506549,-1.1404873843934407,0.790775221383906,-0.7947785117273038,-1.2335632316400897,0.036745025038182534,0.052328657343866776,2.0,210,20,50,5.411462699788069,29.430914948564194
ds002336/sub-xp109/func/sub-xp109_task-fmriNF_bold.nii.gz,sub-xp109,fmriNF,19,28,4.571428571428571,1.2301331282538135,1.25,0.6454972243679028,4.321428571428571,1.492042384180314,0.14285714285714285,0.17857142857142858,0.6,1.8,2.2,3.065,0.10714285714285714,1.7142857142857142,485.86400306096067,993.3497367393329,-0.5834084575616139,0.4773000349103496,-0.6657204867988727,-0.12153355573553497,-1.0015426189389949,0.04691548781065116,1.5431884148919304,2.0,210,20,39,6.265844677878044,23.37641621888712
ds002336/sub-xp110/func/sub-xp110_task-fmriNF_bold.nii.gz,sub-xp110,fmriNF,19,47,4.574468085106383,1.470650268050096,1.297872340425532,0.5866223737940003,4.276595744680851,1.677240586558437,0.23404255319148937,0.23404255319148937,0.45454545454545453,1.7272727272727273,2.5217391304347827,2.0434782608695654,0.02127659574468085,1.4042553191489362,426.4972409186401,986.1825080552511,-1.959997408114594,0.0789903601387279,-1.3409863585319346,0.5203730475780184,0.8281183476409962,0.40377343515157227,0.7253225643958595,2.0,210,20,57,4.8426942717752715,34.99356614034049
